model,Cell Line Name,"ERASTIN (BRD:BRD-A25004090-001-08-4) log2 fold change PRISM Repurposing Public 24Q2"
ACH-001163,CCLFPEDS0001T,0.885250503687
ACH-001164,CCLFPEDS0003T,0.992899939565
ACH-001184,SCMCRM2,NA
ACH-001190,SKMEL2,0.553455881275
ACH-001192,SKNEP1,1.12991937263
ACH-001193,SKPNDW,-1.07101769041
ACH-001196,SMSCTR,NA
ACH-001200,STM9101,1.61286013125
ACH-001205,TC32,-1.11926411486
ACH-001210,TTC1240,0.430779647442
ACH-001211,TTC549,1.25235116778
ACH-001212,TTC642,1.30713538368
ACH-001232,UW228,NA
ACH-001239,WM2664,0.961470257198
ACH-001283,TC106,NA
ACH-001289,COGAR359,NA
ACH-001300,CHLA15,NA
ACH-001301,COGN278,NA
ACH-001306,8305C,-1.61701949313
ACH-001307,8505C,-0.310716337377
ACH-001310,HA1E,NA
ACH-001318,PLCPRF5,0.387377452362
ACH-001321,TT,1.21630179855
ACH-001329,ANGMCSS,NA
ACH-001332,BICR78,NA
ACH-001333,C33A,NA
ACH-001334,C4I,NA
ACH-001336,CASKI,NA
ACH-001341,DOTC24510,NA
ACH-001344,GIMEN,NA
ACH-001345,GP5D,NA
ACH-001346,H103,NA
ACH-001347,H157,NA
ACH-001353,JOPACA1,NA
ACH-001356,MB1,NA
ACH-001360,MS751,NA
ACH-001368,OACM51,NA
ACH-001369,OCIC5X,NA
ACH-001370,OCIP5X,NA
ACH-001373,OV17R,NA
ACH-001374,PA1,NA
ACH-001375,PACADD119,NA
ACH-001377,PACADD137,NA
ACH-001379,PACADD161,NA
ACH-001384,RO82W1,NA
ACH-001390,SUM149PT,NA
ACH-001391,SUM159PT,NA
ACH-001398,SW156,NA
ACH-001399,SW626,NA
ACH-001400,SW954,NA
ACH-001401,SW13,NA
ACH-001402,SW756,NA
ACH-001407,UMUC13,NA
ACH-001411,UMUC5,NA
ACH-001412,UMUC10,NA
ACH-001413,UMUC11,NA
ACH-001414,UMUC6,NA
ACH-001415,UMUC7,NA
ACH-001421,WERIRB1,NA
ACH-001431,TC205,NA
ACH-001437,1618K,NA
ACH-001438,1777NRPMET,NA
ACH-001441,921,NA
ACH-001442,A388,NA
ACH-001449,BL2,NA
ACH-001450,BLUE1,NA
ACH-001451,BOKU,NA
ACH-001452,BONNA12,NA
ACH-001458,C75,NA
ACH-001459,C80,NA
ACH-001494,EGI1,NA
ACH-001495,EMTOKA,NA
ACH-001500,FLO1,NA
ACH-001502,GCT27,NA
ACH-001509,H357,NA
ACH-001510,H376,NA
ACH-001511,H413,NA
ACH-001513,HCA1,NA
ACH-001516,HCSC1,NA
ACH-001517,HEC1,NA
ACH-001518,HEC116,NA
ACH-001521,HKA1,NA
ACH-001523,HSC1,NA
ACH-001524,HSC5,NA
ACH-001525,HT3,NA
ACH-001526,HUO9,NA
ACH-001528,IHH4,NA
ACH-001529,JAR,NA
ACH-001530,JEG3,NA
ACH-001532,JMURTK2,NA
ACH-001533,KARPAS1718,NA
ACH-001536,KKU100,NA
ACH-001537,KKU055,NA
ACH-001538,KKU213,NA
ACH-001542,KON,NA
ACH-001543,KOSC2,NA
ACH-001548,LS,NA
ACH-001550,MCC13,NA
ACH-001551,MCC142,NA
ACH-001552,MCC26,NA
ACH-001563,MM127,NA
ACH-001574,MOLM14,NA
ACH-001578,NCCIT,NA
ACH-001607,NOZ,NA
ACH-001608,NP2,NA
ACH-001609,NP3,NA
ACH-001610,NP5,NA
ACH-001616,OCILY18,NA
ACH-001619,OCUG1,NA
ACH-001624,ONDA9,NA
ACH-001626,OSC20,NA
ACH-001628,PEA1,NA
ACH-001638,RCK8,NA
ACH-001642,SCC3,NA
ACH-001649,SHMAC5,NA
ACH-001650,SISO,NA
ACH-001651,SKGI,NA
ACH-001652,SKGII,NA
ACH-001653,SKGT2,NA
ACH-001654,SKGT4,NA
ACH-001655,SKN,NA
ACH-001656,SKNO1,NA
ACH-001662,SNU2372,NA
ACH-001664,SNU638,NA
ACH-001668,SUSA,NA
ACH-001669,TANOUE,NA
ACH-001670,TASK1,NA
ACH-001673,TFK1,NA
ACH-001674,TGW,NA
ACH-001677,U2904,NA
ACH-001678,U2940,NA
ACH-001679,U2973,NA
ACH-001686,ULA,NA
ACH-001687,UMRC3,NA
ACH-001688,UMRC7,NA
ACH-001693,UPCISCC072,NA
ACH-001696,UPCISCC111,NA
ACH-001698,UPCISCC116,NA
ACH-001702,VAESBJ,NA
ACH-001703,VAL,NA
ACH-001707,WAOSEL,NA
ACH-001711,PFSK1,NA
ACH-001715,CAL72,NA
ACH-001719,OCIC4P,NA
ACH-001740,RH28,NA
ACH-001745,RHJT,NA
ACH-001750,TTC442,NA
ACH-001751,RH36,NA
ACH-001765,RH4,NA
ACH-001786,SNU1544,NA
ACH-001794,93T449,NA
ACH-001795,94T778,NA
ACH-001796,95T1000,NA
ACH-001799,LPS141,NA
ACH-001834,ICC10,NA
ACH-001838,ICC12,NA
ACH-001839,ICC137,NA
ACH-001841,ICC15,NA
ACH-001844,ICC4,NA
ACH-001848,ICC8,NA
ACH-001849,ICC9,NA
ACH-001850,G415,NA
ACH-001852,HKGZCC,NA
ACH-001853,KMCH1,NA
ACH-001854,MMNK1,NA
ACH-001855,OZ,NA
ACH-001856,RBE,NA
ACH-001857,SG231,NA
ACH-001858,SSP25,NA
ACH-001861,TGBC1TKB,NA
ACH-001862,TGBC52TKB,NA
ACH-001864,YSCCC,NA
ACH-001959,CCLP1,NA
ACH-001960,CCSW1,NA
ACH-001961,GB2,NA
ACH-001991,NZOV9,NA
ACH-001997,ECC2,NA
ACH-001999,9505BIK,NA
ACH-002010,MP41,NA
ACH-002015,MEL285,NA
ACH-002016,MEL290,NA
ACH-002023,TGBC18TKB,NA
ACH-002025,TT1TKB,NA
ACH-002038,HSKTC,NA
ACH-002039,PK8,NA
ACH-002041,HOTHC,NA
ACH-002042,T3M5,NA
ACH-002046,HTMMT,NA
ACH-002048,RMSYM,NA
