model,Cell Line Name,"ERASTIN (BRD:BRD-A25004090-001-08-4) log2 fold change PRISM Repurposing Public 24Q2"
ACH-000270,HPAC,1.29330989632
ACH-000273,SF539,0.618933247105
ACH-000274,HS852T,1.20863765722
ACH-000276,HCC38,0.736466095573
ACH-000277,HCC1419,0.85472234832
ACH-000278,COV362,-0.0143555004014
ACH-000279,EWS502,-0.480408607246
ACH-000280,SNU840,-0.775190081685
ACH-000281,KP2,0.663962648814
ACH-000283,A1207,NA
ACH-000285,TOLEDO,NA
ACH-000288,BT549,0.626021380856
ACH-000289,SNU466,1.69334345061
ACH-000291,OV90,-0.793206765165
ACH-000292,NCIH841,-1.90309511741
ACH-000293,KLE,NA
ACH-000294,NB4,NA
ACH-000295,EM2,NA
ACH-000296,OUMS23,-0.183030498392
ACH-000301,LAMA84,NA
ACH-000302,SNU1077,0.347202060966
ACH-000305,ECGI10,0.118768534307
ACH-000307,PK1,0.304130475548
ACH-000308,EFO21,1.22300690711
ACH-000309,SKLU1,1.2191042
ACH-000311,NCIH2122,0.277517827787
ACH-000312,SKNBE2,NA
ACH-000313,KMRC3,0.469661113983
ACH-000314,HCC2108,NA
ACH-000315,KARPAS422,NA
ACH-000316,SNU886,0.609375380171
ACH-000318,TE10,0.636346153038
ACH-000319,MPP89,0.516340174812
ACH-000320,PSN1,-0.264385127996
ACH-000322,HT144,1.14419903211
ACH-000323,42MGBA,-0.311617201319
ACH-000324,JHOC5,-0.256891708878
ACH-000326,JURLMK1,NA
ACH-000329,CCFSTTG1,1.15807758804
ACH-000330,EFM19,-0.000936171102652
ACH-000331,ISTMES2,0.432498577627
ACH-000332,YAPC,0.226601553814
ACH-000335,MSTO211H,-2.692338813
ACH-000336,OCIAML3,NA
ACH-000338,SR786,NA
ACH-000341,SKNFI,-0.172030858767
ACH-000343,NCIH522,-0.933914121816
ACH-000344,SNU668,0.59142368824
ACH-000346,JVM3,NA
ACH-000347,QGP1,0.653946770105
ACH-000348,RPMI7951,0.115757133611
ACH-000350,COLO678,0.513901175099
ACH-000351,MKN1,1.4525950752
ACH-000352,HCC1428,0.288447689263
ACH-000353,TE15,NA
ACH-000355,NCIH82,NA
ACH-000356,MKN45,0.635283749548
ACH-000357,JEKO1,NA
ACH-000359,MG63,-0.235397222861
ACH-000360,NCIH508,NA
ACH-000361,SKHEP1,-3.73975486197
ACH-000362,MOLM13,NA
ACH-000364,U2OS,2.06929486961
ACH-000365,SUDHL4,NA
ACH-000366,SKNDZ,-3.00595650477
ACH-000367,NCIH226,-0.114217385292
ACH-000368,SNU1105,0.482032099059
ACH-000371,RL,NA
ACH-000372,P12ICHIKAWA,NA
ACH-000373,SKM1,NA
ACH-000374,HCC1143,0.313594683626
