"Protein","Condition","Points","Pearson","Spearman","Slope","Intercept","P_value","P_adj_BH"
"TST","high AIFM2",45,0.265009756487277,0.221475625823452,0.253893751282876,0.0847062935990829,0.0785230551555157,0.209394813748042
"TST","low AIFM2",184,0.161699291830443,0.129995569339832,0.190758299208452,0.0555686702989926,0.028314581417082,0.113258325668328
"TST","negligible AIFM2",41,-0.0171665917186237,-0.119337979094077,-0.0176014606582624,-0.327957471293654,0.915163238034891,0.91784421192287
"TST","both low",58,0.264478836062218,0.144606109077486,0.407435352761823,-0.271052083529212,0.0448302053396374,0.132131131527352
"TST","all",276,0.176312144400643,0.140419229177666,0.197317851265345,0.000356119500357635,0.00329399768434786,0.0614879567744935
"MPST","high GPX4",25,-0.141929131107177,-0.2,-0.273550261345535,0.25535588653672,0.498562669979409,0.697987737971172
"MPST","low GPX4",212,0.156526089416531,0.0922930051020601,0.243611397511334,0.0469065504777034,0.022628478232987,0.105599565087273
"MPST","negligible GPX4",39,0.240239363336362,0.301012145748988,0.362833764835823,-0.048981743747606,0.140709520628327,0.303066659814858
"MPST","high AIFM2",45,0.365439266063117,0.380895915678524,0.534782693924915,0.228201896499486,0.0135681124345852,0.0844238107040855
"MPST","low AIFM2",184,0.121319968520847,0.0909152202808653,0.181470547928234,0.0804568306538777,0.100898215834125,0.235429170279625
"MPST","negligible AIFM2",41,0.109156567306031,0.0297909407665505,0.199952455821306,-0.359703384389545,0.496908278807642,0.697987737971172
"MPST","both low",58,0.015329609845258,-0.0661047709864961,0.0358139723358373,-0.302804049040043,0.9090696932096,0.91784421192287
"MPST","all",276,0.162451297207935,0.115622208587206,0.249975047995119,0.0334123422569878,0.00683900515517516,0.0638307147816348
"CARS1","high GPX4",25,-0.182054260139761,-0.169230769230769,-0.289630684905545,0.209104531945049,0.383764794534418,0.59696745816465
"CARS1","low GPX4",212,-0.143577463811305,-0.129639681961932,-0.226397831438088,0.0222251758650171,0.0367081454467879,0.131623888475287
"CARS1","negligible GPX4",39,-0.0170714016912717,-0.0866396761133603,-0.0267210408717473,-0.203272609869814,0.91784421192287,0.91784421192287
"CARS1","high AIFM2",45,0.177610932749506,0.0404479578392622,0.249745059713076,0.22322030040054,0.243116981058175,0.412562149674479
"CARS1","low AIFM2",184,-0.204999006317954,-0.170946427539443,-0.326743169364599,0.0242216412632622,0.00524642166936523,0.0638307147816348
"CARS1","negligible AIFM2",41,0.0676854199329164,0.0614982578397213,0.0835758343301477,-0.306330759962283,0.674136325859108,0.851680563729778
"CARS1","both low",58,-0.160397943069992,-0.0467255221630933,-0.331383251174665,-0.425139116413779,0.22906587326408,0.402561190965776
"CARS1","all",276,-0.0999035987945579,-0.101007691100298,-0.152036143714015,-0.000328364387997061,0.0976536169328147,0.235429170279625
