CellID,GPX4,CBS,TST,MPST,AIFM2,Cell Line Name,Erastin_log2
ACH-000849,0.693912282766292,1.44508121565069,1.52421883291393,0.143679644196592,-1.28590811552566,MDAMB468,-2.06851681714
ACH-000441,0.7202021681678,0.0734150020259021,0.649362229189688,1.00004705010071,0.857103361986845,SH4,-0.0816462495273
ACH-000248,-0.987816569595475,-1.61827602959258,-0.138665432521617,-0.271533165504528,1.00118155380185,AU565,
ACH-000684,-0.743698099216283,-0.720024183723368,-0.874138660604631,-0.218137363752836,-0.344476592366587,KMRC1,-2.05623034909
ACH-000856,0.916936782053383,1.47819160542826,-0.184998244090884,0.117864340092026,-0.858387062359278,CAL51,0.651328438695
ACH-000348,0.184687071953319,-0.421969573487812,-1.05932776830161,-0.547843750570111,0.272408384003607,RPMI7951,0.115757133611
ACH-000062,-0.0268297033119701,-0.263885863268466,0.281931698487828,-0.423024188195284,0.076276573777339,RERFLCMS,0.110691133946
ACH-000650,-0.715366742930611,0.55018504845052,-0.156032010072764,-0.0240288218286306,0.944945923744036,IGR37,0.202168405915
ACH-000484,-0.0845511231288021,-1.63688445269148,-0.0112706035413264,0.275854176177293,-0.993344328767782,VMRCRCW,0.860117556886
ACH-000625,0.277213995011322,2.70477670059186,1.93824424323561,2.13071691499508,0.391731587887175,HEP3B217,1.10328850002
ACH-000739,-0.650886448714982,0.208998956409228,1.72170138330182,1.46750688431415,0.26822393461783,HEPG2,0.883904608837
ACH-000361,-0.666890868307389,0.190834867376711,-1.00345075389057,-0.431728198332852,-0.798899603039766,SKHEP1,-3.73975486197
ACH-001239,1.19271371076882,-0.696972462845665,-0.645235636898569,-0.474338449577985,-0.170941658413668,WM2664,0.961470257198
ACH-000250,-0.792248697892374,-2.26565015655818,-0.204539645825806,-0.363806050983419,-0.19997050801883,KMRC20,-0.51999037335
ACH-000014,0.151976543040669,-1.1431965810267,-0.799464831815182,-1.19878684305799,-0.101130932609213,HS294T,0.569814770119
ACH-000713,-0.0374039638843217,0.522737711451072,0.742428847202347,-0.073220362645153,0.918741235123215,CAOV3,1.52719600761
ACH-000753,0.290654031253883,0.0614267937077838,-1.27958312734033,-0.570699790795023,0.513312524199808,JMSU1,1.09379514235
ACH-000023,0.240368377069104,-1.34165601675062,-1.00222404871868,-0.199504644463753,0.168014883840688,PATU8988T,-0.691730381294
ACH-000711,-0.626707190398721,0.673959765644161,-0.188629857398211,-0.335942471660722,-0.465687527173752,JIMT1,0.55299910772
ACH-000278,-0.124196046863395,0.50852007169835,-0.175777814731311,-0.532983997286473,-0.0191979433666576,COV362,-0.0143555004014
ACH-000219,-0.0832596950029492,-0.565261647181129,-0.87080760379822,-0.537031094097692,-0.175941411587492,A375,0.418917986531
ACH-000788,-0.0721942327628053,0.055503216022568,-0.596140646716002,-0.0551381568785068,0.0641382240549406,A2058,0.0258540847904
ACH-000651,0.0994148520975793,-0.102210124316915,0.491785534531135,0.554460617249679,0.652318898911367,SW620,0.232016879986
ACH-000935,0.71038733461997,-0.884269626443846,-0.673626536075831,-0.0439740701195244,-0.460260088643793,MDST8,
ACH-000475,-0.3978038840169,0.247652495122975,1.54116299789818,1.12173992582909,1.06425948704193,HUH1,0.821279794455
ACH-000971,-0.380308927857208,-1.35272498076739,-0.0704437532618717,-0.0254647575795707,0.578390914236254,HCT116,0.15037200778
ACH-000393,-1.21210055040245,0.679764148428013,-0.110096145963643,-0.323127663374903,0.123662758986859,HLF,-0.340612075786
ACH-000552,0.646320614147653,-1.10066017402736,0.488142891001774,-0.2986014912663,0.348984944203651,HT29,0.794782673946
ACH-000528,0.152738757850154,1.64633307936776,-1.05424242898016,-1.05128753262462,-2.02057381576735,ABC1,0.221970444722
ACH-000783,1.81534250151043,0.52495815604761,-0.668679888466361,-0.0423844421802784,-2.17397465857414,CAMA1,0.406285678284
ACH-000943,-1.10949193671414,-1.67857893913222,-0.599515943596168,0.0317281125798233,0.910062657078159,RKO,0.0635628375247
ACH-000986,0.286009415137676,-1.27253299516128,0.701625819211164,0.0815735682070357,1.24061313324568,HT115,-1.22686830527
ACH-000734,-0.687285774983161,1.22141512705233,2.19295152846563,2.55111813182765,0.866726035841895,JHH5,1.04150092863
ACH-000423,0.232418358534652,-0.741078244220881,-0.484605854400647,-0.545752474674808,0.0039586973432829,SKMEL3,0.81672311668
ACH-000860,-0.520868298313305,1.08104321047769,-1.24131517451111,-0.646160398038247,-0.845805787252461,NCIH358,0.656368596091
ACH-000547,0.243600248388894,-0.571854172209996,-0.913410139199968,-1.43323700145669,0.593247876696251,HT1197,-1.39050115079
ACH-000480,-0.460611248947767,1.36258405966762,1.45800141315294,1.26717771701955,0.376821189937515,HUH7,-0.248510479267
ACH-000847,1.44406004665634,-2.15591072330535,-0.284377052692566,0.45665251911506,-1.85190987259982,HGC27,-0.537806017605
ACH-000749,-0.496750759890381,1.20563376706533,-0.650487862884821,0.177956412471838,-1.68319212826933,DMS273,-0.787761716953
ACH-000510,-0.245104500177851,0.837168541941641,-1.56110894974213,-0.913223403741684,0.183384232162978,NCIH1299,-0.098707630845
ACH-000615,0.270964060172289,-1.17100885305629,0.478952101805419,-0.15564911526353,0.479181987679013,SKMEL28,
ACH-000234,-0.0646732331616338,-1.02947003775879,0.133636129022905,0.206311296713662,0.604976381860597,CAKI2,0.420604657583
ACH-000926,-0.154384933301673,-1.40038119597635,2.83290070720637,1.19048631320383,1.58079214266934,HT55,0.935752771616
